INFO 2021-06-29 05:54:17,205 daemon Exiting due to SIGINT
INFO 2021-06-29 05:57:32,477 judge_handler Judge connected from: ('66.42.48.198', 45576)
WARNING 2021-06-29 05:57:32,550 judge_handler Authentication failure: ('66.42.48.198', 45576)
INFO 2021-06-29 05:57:32,550 judge_handler Judge disconnected from: ('66.42.48.198', 45576) with name None
INFO 2021-06-29 05:57:55,237 judge_handler Judge connected from: ('172.17.0.2', 46716)
WARNING 2021-06-29 05:57:55,256 judge_handler Authentication failure: ('172.17.0.2', 46716)
INFO 2021-06-29 05:57:55,256 judge_handler Judge disconnected from: ('172.17.0.2', 46716) with name None
INFO 2021-06-29 05:58:02,783 judge_handler Judge connected from: ('113.169.222.240', 42322)
WARNING 2021-06-29 05:58:02,809 judge_handler Authentication failure: ('113.169.222.240', 42322)
INFO 2021-06-29 05:58:02,810 judge_handler Judge disconnected from: ('113.169.222.240', 42322) with name None
INFO 2021-06-29 05:58:32,726 judge_handler Judge connected from: ('66.42.48.198', 45578)
WARNING 2021-06-29 05:58:32,805 judge_handler Authentication failure: ('66.42.48.198', 45578)
INFO 2021-06-29 05:58:32,806 judge_handler Judge disconnected from: ('66.42.48.198', 45578) with name None
INFO 2021-06-29 05:58:46,032 daemon Exiting due to SIGINT
INFO 2021-06-29 05:58:55,327 judge_handler Judge connected from: ('172.17.0.2', 46772)
WARNING 2021-06-29 05:58:55,338 judge_handler Authentication failure: ('172.17.0.2', 46772)
INFO 2021-06-29 05:58:55,344 judge_handler Judge disconnected from: ('172.17.0.2', 46772) with name None
INFO 2021-06-29 05:59:09,529 judge_handler Judge connected from: ('113.169.222.240', 42324)
WARNING 2021-06-29 05:59:09,554 judge_handler Authentication failure: ('113.169.222.240', 42324)
INFO 2021-06-29 05:59:09,555 judge_handler Judge disconnected from: ('113.169.222.240', 42324) with name None
INFO 2021-06-29 05:59:32,997 judge_handler Judge connected from: ('66.42.48.198', 45580)
WARNING 2021-06-29 05:59:33,064 judge_handler Authentication failure: ('66.42.48.198', 45580)
INFO 2021-06-29 05:59:33,064 judge_handler Judge disconnected from: ('66.42.48.198', 45580) with name None
INFO 2021-06-29 05:59:55,408 judge_handler Judge connected from: ('172.17.0.2', 46794)
WARNING 2021-06-29 05:59:55,430 judge_handler Authentication failure: ('172.17.0.2', 46794)
INFO 2021-06-29 05:59:55,436 judge_handler Judge disconnected from: ('172.17.0.2', 46794) with name None
INFO 2021-06-29 06:00:15,312 judge_handler Judge connected from: ('113.169.222.240', 42326)
WARNING 2021-06-29 06:00:15,332 judge_handler Authentication failure: ('113.169.222.240', 42326)
INFO 2021-06-29 06:00:15,332 judge_handler Judge disconnected from: ('113.169.222.240', 42326) with name None
INFO 2021-06-29 06:00:33,240 judge_handler Judge connected from: ('66.42.48.198', 45582)
WARNING 2021-06-29 06:00:33,307 judge_handler Authentication failure: ('66.42.48.198', 45582)
INFO 2021-06-29 06:00:33,308 judge_handler Judge disconnected from: ('66.42.48.198', 45582) with name None
INFO 2021-06-29 06:00:55,505 judge_handler Judge connected from: ('172.17.0.2', 46804)
WARNING 2021-06-29 06:00:55,530 judge_handler Authentication failure: ('172.17.0.2', 46804)
INFO 2021-06-29 06:00:55,534 judge_handler Judge disconnected from: ('172.17.0.2', 46804) with name None
INFO 2021-06-29 06:01:21,521 judge_handler Judge connected from: ('113.169.222.240', 42328)
WARNING 2021-06-29 06:01:21,552 judge_handler Authentication failure: ('113.169.222.240', 42328)
INFO 2021-06-29 06:01:21,553 judge_handler Judge disconnected from: ('113.169.222.240', 42328) with name None
INFO 2021-06-29 06:01:33,477 judge_handler Judge connected from: ('66.42.48.198', 45584)
WARNING 2021-06-29 06:01:33,543 judge_handler Authentication failure: ('66.42.48.198', 45584)
INFO 2021-06-29 06:01:33,555 judge_handler Judge disconnected from: ('66.42.48.198', 45584) with name None
INFO 2021-06-29 06:01:55,564 judge_handler Judge connected from: ('172.17.0.2', 46812)
WARNING 2021-06-29 06:01:55,581 judge_handler Authentication failure: ('172.17.0.2', 46812)
INFO 2021-06-29 06:01:55,582 judge_handler Judge disconnected from: ('172.17.0.2', 46812) with name None
INFO 2021-06-29 06:02:27,913 judge_handler Judge connected from: ('113.169.222.240', 42330)
WARNING 2021-06-29 06:02:27,933 judge_handler Authentication failure: ('113.169.222.240', 42330)
INFO 2021-06-29 06:02:27,934 judge_handler Judge disconnected from: ('113.169.222.240', 42330) with name None
INFO 2021-06-29 06:02:33,722 judge_handler Judge connected from: ('66.42.48.198', 45586)
WARNING 2021-06-29 06:02:33,795 judge_handler Authentication failure: ('66.42.48.198', 45586)
INFO 2021-06-29 06:02:33,796 judge_handler Judge disconnected from: ('66.42.48.198', 45586) with name None
INFO 2021-06-29 06:02:55,649 judge_handler Judge connected from: ('172.17.0.2', 46820)
WARNING 2021-06-29 06:02:55,679 judge_handler Authentication failure: ('172.17.0.2', 46820)
INFO 2021-06-29 06:02:55,680 judge_handler Judge disconnected from: ('172.17.0.2', 46820) with name None
INFO 2021-06-29 06:03:16,937 daemon Exiting due to SIGINT
INFO 2021-06-29 06:05:12,880 judge_handler Judge connected from: ('172.17.0.2', 36932)
WARNING 2021-06-29 06:05:12,902 judge_handler Authentication failure: ('172.17.0.2', 36932)
INFO 2021-06-29 06:05:12,902 judge_handler Judge disconnected from: ('172.17.0.2', 36932) with name None
INFO 2021-06-29 06:05:16,912 judge_handler Judge connected from: ('172.17.0.2', 36936)
WARNING 2021-06-29 06:05:16,920 judge_handler Authentication failure: ('172.17.0.2', 36936)
INFO 2021-06-29 06:05:16,922 judge_handler Judge disconnected from: ('172.17.0.2', 36936) with name None
INFO 2021-06-29 06:05:22,933 judge_handler Judge connected from: ('172.17.0.2', 36940)
WARNING 2021-06-29 06:05:22,940 judge_handler Authentication failure: ('172.17.0.2', 36940)
INFO 2021-06-29 06:05:22,940 judge_handler Judge disconnected from: ('172.17.0.2', 36940) with name None
INFO 2021-06-29 06:05:31,957 judge_handler Judge connected from: ('172.17.0.2', 36944)
WARNING 2021-06-29 06:05:31,976 judge_handler Authentication failure: ('172.17.0.2', 36944)
INFO 2021-06-29 06:05:31,977 judge_handler Judge disconnected from: ('172.17.0.2', 36944) with name None
INFO 2021-06-29 06:05:37,350 judge_handler Judge connected from: ('66.42.48.198', 45592)
WARNING 2021-06-29 06:05:37,420 judge_handler Authentication failure: ('66.42.48.198', 45592)
INFO 2021-06-29 06:05:37,421 judge_handler Judge disconnected from: ('66.42.48.198', 45592) with name None
INFO 2021-06-29 06:05:45,491 judge_handler Judge connected from: ('172.17.0.2', 36950)
WARNING 2021-06-29 06:05:45,498 judge_handler Authentication failure: ('172.17.0.2', 36950)
INFO 2021-06-29 06:05:45,499 judge_handler Judge disconnected from: ('172.17.0.2', 36950) with name None
INFO 2021-06-29 06:05:47,908 judge_handler Judge connected from: ('113.169.222.240', 42336)
WARNING 2021-06-29 06:05:47,924 judge_handler Authentication failure: ('113.169.222.240', 42336)
INFO 2021-06-29 06:05:47,932 judge_handler Judge disconnected from: ('113.169.222.240', 42336) with name None
INFO 2021-06-29 06:06:05,775 judge_handler Judge connected from: ('172.17.0.2', 36956)
WARNING 2021-06-29 06:06:05,794 judge_handler Authentication failure: ('172.17.0.2', 36956)
INFO 2021-06-29 06:06:05,797 judge_handler Judge disconnected from: ('172.17.0.2', 36956) with name None
INFO 2021-06-29 06:06:36,212 judge_handler Judge connected from: ('172.17.0.2', 36960)
WARNING 2021-06-29 06:06:36,227 judge_handler Authentication failure: ('172.17.0.2', 36960)
INFO 2021-06-29 06:06:36,227 judge_handler Judge disconnected from: ('172.17.0.2', 36960) with name None
INFO 2021-06-29 06:06:37,588 judge_handler Judge connected from: ('66.42.48.198', 45594)
WARNING 2021-06-29 06:06:37,654 judge_handler Authentication failure: ('66.42.48.198', 45594)
INFO 2021-06-29 06:06:37,655 judge_handler Judge disconnected from: ('66.42.48.198', 45594) with name None
INFO 2021-06-29 06:06:54,641 judge_handler Judge connected from: ('113.169.222.240', 42338)
WARNING 2021-06-29 06:06:54,663 judge_handler Authentication failure: ('113.169.222.240', 42338)
INFO 2021-06-29 06:06:54,678 judge_handler Judge disconnected from: ('113.169.222.240', 42338) with name None
INFO 2021-06-29 06:07:21,849 judge_handler Judge connected from: ('172.17.0.2', 36978)
WARNING 2021-06-29 06:07:21,889 judge_handler Authentication failure: ('172.17.0.2', 36978)
INFO 2021-06-29 06:07:21,890 judge_handler Judge disconnected from: ('172.17.0.2', 36978) with name None
INFO 2021-06-29 06:07:37,837 judge_handler Judge connected from: ('66.42.48.198', 45596)
WARNING 2021-06-29 06:07:37,903 judge_handler Authentication failure: ('66.42.48.198', 45596)
INFO 2021-06-29 06:07:37,904 judge_handler Judge disconnected from: ('66.42.48.198', 45596) with name None
INFO 2021-06-29 06:08:00,382 judge_handler Judge connected from: ('113.169.222.240', 42340)
WARNING 2021-06-29 06:08:00,398 judge_handler Authentication failure: ('113.169.222.240', 42340)
INFO 2021-06-29 06:08:00,398 judge_handler Judge disconnected from: ('113.169.222.240', 42340) with name None
INFO 2021-06-29 06:08:21,953 judge_handler Judge connected from: ('172.17.0.2', 37032)
WARNING 2021-06-29 06:08:21,967 judge_handler Authentication failure: ('172.17.0.2', 37032)
INFO 2021-06-29 06:08:21,967 judge_handler Judge disconnected from: ('172.17.0.2', 37032) with name None
INFO 2021-06-29 06:08:38,072 judge_handler Judge connected from: ('66.42.48.198', 45598)
WARNING 2021-06-29 06:08:38,130 judge_handler Authentication failure: ('66.42.48.198', 45598)
INFO 2021-06-29 06:08:38,131 judge_handler Judge disconnected from: ('66.42.48.198', 45598) with name None
INFO 2021-06-29 06:09:06,571 judge_handler Judge connected from: ('113.169.222.240', 42342)
WARNING 2021-06-29 06:09:06,594 judge_handler Authentication failure: ('113.169.222.240', 42342)
INFO 2021-06-29 06:09:06,595 judge_handler Judge disconnected from: ('113.169.222.240', 42342) with name None
INFO 2021-06-29 06:09:22,037 judge_handler Judge connected from: ('172.17.0.2', 37054)
WARNING 2021-06-29 06:09:22,051 judge_handler Authentication failure: ('172.17.0.2', 37054)
INFO 2021-06-29 06:09:22,051 judge_handler Judge disconnected from: ('172.17.0.2', 37054) with name None
INFO 2021-06-29 06:09:38,302 judge_handler Judge connected from: ('66.42.48.198', 45602)
WARNING 2021-06-29 06:09:38,361 judge_handler Authentication failure: ('66.42.48.198', 45602)
INFO 2021-06-29 06:09:38,361 judge_handler Judge disconnected from: ('66.42.48.198', 45602) with name None
INFO 2021-06-29 06:10:12,888 judge_handler Judge connected from: ('113.169.222.240', 42344)
WARNING 2021-06-29 06:10:12,903 judge_handler Authentication failure: ('113.169.222.240', 42344)
INFO 2021-06-29 06:10:12,904 judge_handler Judge disconnected from: ('113.169.222.240', 42344) with name None
INFO 2021-06-29 06:10:22,141 judge_handler Judge connected from: ('172.17.0.2', 37102)
WARNING 2021-06-29 06:10:22,154 judge_handler Authentication failure: ('172.17.0.2', 37102)
INFO 2021-06-29 06:10:22,155 judge_handler Judge disconnected from: ('172.17.0.2', 37102) with name None
INFO 2021-06-29 06:10:38,538 judge_handler Judge connected from: ('66.42.48.198', 45604)
WARNING 2021-06-29 06:10:38,617 judge_handler Authentication failure: ('66.42.48.198', 45604)
INFO 2021-06-29 06:10:38,618 judge_handler Judge disconnected from: ('66.42.48.198', 45604) with name None
INFO 2021-06-29 06:11:19,496 judge_handler Judge connected from: ('113.169.222.240', 42346)
WARNING 2021-06-29 06:11:19,524 judge_handler Authentication failure: ('113.169.222.240', 42346)
INFO 2021-06-29 06:11:19,536 judge_handler Judge disconnected from: ('113.169.222.240', 42346) with name None
INFO 2021-06-29 06:11:22,225 judge_handler Judge connected from: ('172.17.0.2', 37148)
WARNING 2021-06-29 06:11:22,233 judge_handler Authentication failure: ('172.17.0.2', 37148)
INFO 2021-06-29 06:11:22,234 judge_handler Judge disconnected from: ('172.17.0.2', 37148) with name None
INFO 2021-06-29 06:11:38,791 judge_handler Judge connected from: ('66.42.48.198', 45606)
WARNING 2021-06-29 06:11:38,861 judge_handler Authentication failure: ('66.42.48.198', 45606)
INFO 2021-06-29 06:11:38,862 judge_handler Judge disconnected from: ('66.42.48.198', 45606) with name None
INFO 2021-06-29 06:12:22,318 judge_handler Judge connected from: ('172.17.0.2', 37156)
WARNING 2021-06-29 06:12:22,329 judge_handler Authentication failure: ('172.17.0.2', 37156)
INFO 2021-06-29 06:12:22,330 judge_handler Judge disconnected from: ('172.17.0.2', 37156) with name None
INFO 2021-06-29 06:12:26,249 judge_handler Judge connected from: ('113.169.222.240', 42348)
WARNING 2021-06-29 06:12:26,265 judge_handler Authentication failure: ('113.169.222.240', 42348)
INFO 2021-06-29 06:12:26,265 judge_handler Judge disconnected from: ('113.169.222.240', 42348) with name None
INFO 2021-06-29 06:12:40,776 judge_handler Judge connected from: ('66.42.48.198', 45608)
WARNING 2021-06-29 06:12:40,930 judge_handler Authentication failure: ('66.42.48.198', 45608)
INFO 2021-06-29 06:12:40,930 judge_handler Judge disconnected from: ('66.42.48.198', 45608) with name None
INFO 2021-06-29 06:13:22,406 judge_handler Judge connected from: ('172.17.0.2', 37176)
WARNING 2021-06-29 06:13:22,425 judge_handler Authentication failure: ('172.17.0.2', 37176)
INFO 2021-06-29 06:13:22,430 judge_handler Judge disconnected from: ('172.17.0.2', 37176) with name None
INFO 2021-06-29 06:13:32,992 judge_handler Judge connected from: ('113.169.222.240', 42350)
